Line Number, Coefficient, Statement Number
253,0.45652173913,209
252,0.45652173913,208
245,0.45652173913,198
244,0.45652173913,197
323,0.434782608696,272
311,0.434782608696,263
308,0.434782608696,260
304,0.434782608696,257
382,0.413043478261,354
379,0.413043478261,353
379,0.413043478261,352
380,0.413043478261,351
380,0.413043478261,350
380,0.413043478261,349
380,0.413043478261,348
380,0.413043478261,347
379,0.413043478261,346
379,0.413043478261,345
378,0.413043478261,344
378,0.413043478261,343
377,0.413043478261,342
354,0.413043478261,341
354,0.413043478261,340
372,0.413043478261,335
371,0.413043478261,334
370,0.413043478261,333
370,0.413043478261,332
370,0.413043478261,331
369,0.413043478261,330
369,0.413043478261,329
369,0.413043478261,328
366,0.413043478261,322
366,0.413043478261,321
366,0.413043478261,320
365,0.413043478261,319
364,0.413043478261,318
364,0.413043478261,317
364,0.413043478261,316
363,0.413043478261,315
363,0.413043478261,314
361,0.413043478261,313
361,0.413043478261,312
360,0.413043478261,311
359,0.413043478261,310
357,0.413043478261,309
357,0.413043478261,308
356,0.413043478261,307
355,0.413043478261,306
354,0.413043478261,305
353,0.413043478261,304
352,0.413043478261,303
351,0.413043478261,302
350,0.413043478261,301
349,0.413043478261,300
349,0.413043478261,299
348,0.413043478261,298
340,0.413043478261,292
340,0.413043478261,291
339,0.413043478261,290
339,0.413043478261,289
338,0.413043478261,287
337,0.413043478261,286
337,0.413043478261,285
336,0.413043478261,284
336,0.413043478261,283
335,0.413043478261,282
334,0.413043478261,281
333,0.413043478261,280
333,0.413043478261,279
333,0.413043478261,278
333,0.413043478261,277
320,0.413043478261,269
302,0.413043478261,255
300,0.413043478261,254
300,0.413043478261,253
299,0.413043478261,252
299,0.413043478261,251
299,0.413043478261,250
299,0.413043478261,249
299,0.413043478261,248
277,0.413043478261,236
276,0.413043478261,235
275,0.413043478261,234
274,0.413043478261,233
274,0.413043478261,232
273,0.413043478261,231
259,0.413043478261,217
258,0.413043478261,216
258,0.413043478261,215
258,0.413043478261,214
242,0.413043478261,199
279,0.369565217391,238
272,0.369565217391,237
272,0.369565217391,230
257,0.369565217391,212
250,0.369565217391,211
251,0.369565217391,207
251,0.369565217391,206
251,0.369565217391,205
250,0.369565217391,204
250,0.369565217391,203
250,0.369565217391,202
249,0.369565217391,201
242,0.369565217391,200
243,0.369565217391,196
243,0.369565217391,195
243,0.369565217391,194
243,0.369565217391,193
242,0.369565217391,192
242,0.369565217391,191
242,0.369565217391,190
241,0.369565217391,189
316,0.347826086957,268
295,0.347826086957,265
238,0.347826086957,187
238,0.347826086957,186
238,0.347826086957,185
374,0.333333333333,339
373,0.333333333333,338
373,0.333333333333,337
373,0.333333333333,336
345,0.326086956522,297
338,0.326086956522,288
332,0.326086956522,276
329,0.326086956522,275
328,0.326086956522,274
328,0.326086956522,273
295,0.326086956522,267
295,0.326086956522,266
298,0.326086956522,264
298,0.326086956522,247
297,0.326086956522,246
297,0.326086956522,245
296,0.326086956522,244
295,0.326086956522,243
295,0.326086956522,242
293,0.326086956522,241
291,0.326086956522,240
290,0.326086956522,239
306,0.200483091787,259
305,0.200483091787,258
250,0.135265700483,210
369,0.0555555555556,327
368,0.0555555555556,326
367,0.0555555555556,325
367,0.0555555555556,324
367,0.0555555555556,323
342,0.0555555555556,296
341,0.0555555555556,295
341,0.0555555555556,294
341,0.0555555555556,293
