Line Number, Coefficient, Statement Number
253,0.34462781148,209
252,0.34462781148,208
245,0.34462781148,198
244,0.34462781148,197
323,0.33264957193,272
311,0.33264957193,263
308,0.33264957193,260
304,0.33264957193,257
382,0.322251693318,354
379,0.322251693318,353
379,0.322251693318,352
380,0.322251693318,351
380,0.322251693318,350
380,0.322251693318,349
380,0.322251693318,348
380,0.322251693318,347
379,0.322251693318,346
379,0.322251693318,345
378,0.322251693318,344
378,0.322251693318,343
377,0.322251693318,342
354,0.322251693318,341
354,0.322251693318,340
372,0.322251693318,335
371,0.322251693318,334
370,0.322251693318,333
370,0.322251693318,332
370,0.322251693318,331
369,0.322251693318,330
369,0.322251693318,329
369,0.322251693318,328
366,0.322251693318,322
366,0.322251693318,321
366,0.322251693318,320
365,0.322251693318,319
364,0.322251693318,318
364,0.322251693318,317
364,0.322251693318,316
363,0.322251693318,315
363,0.322251693318,314
361,0.322251693318,313
361,0.322251693318,312
360,0.322251693318,311
359,0.322251693318,310
357,0.322251693318,309
357,0.322251693318,308
356,0.322251693318,307
355,0.322251693318,306
354,0.322251693318,305
353,0.322251693318,304
352,0.322251693318,303
351,0.322251693318,302
350,0.322251693318,301
349,0.322251693318,300
349,0.322251693318,299
348,0.322251693318,298
340,0.322251693318,292
340,0.322251693318,291
339,0.322251693318,290
339,0.322251693318,289
338,0.322251693318,287
337,0.322251693318,286
337,0.322251693318,285
336,0.322251693318,284
336,0.322251693318,283
335,0.322251693318,282
334,0.322251693318,281
333,0.322251693318,280
333,0.322251693318,279
333,0.322251693318,278
333,0.322251693318,277
320,0.322251693318,269
302,0.322251693318,255
300,0.322251693318,254
300,0.322251693318,253
299,0.322251693318,252
299,0.322251693318,251
299,0.322251693318,250
299,0.322251693318,249
299,0.322251693318,248
277,0.322251693318,236
276,0.322251693318,235
275,0.322251693318,234
274,0.322251693318,233
274,0.322251693318,232
273,0.322251693318,231
259,0.322251693318,217
258,0.322251693318,216
258,0.322251693318,215
258,0.322251693318,214
242,0.322251693318,199
374,0.306186217848,339
373,0.306186217848,338
373,0.306186217848,337
373,0.306186217848,336
279,0.305128576629,238
272,0.305128576629,237
272,0.305128576629,230
257,0.305128576629,212
250,0.305128576629,211
251,0.305128576629,207
251,0.305128576629,206
251,0.305128576629,205
250,0.305128576629,204
250,0.305128576629,203
250,0.305128576629,202
249,0.305128576629,201
242,0.305128576629,200
243,0.305128576629,196
243,0.305128576629,195
243,0.305128576629,194
243,0.305128576629,193
242,0.305128576629,192
242,0.305128576629,191
242,0.305128576629,190
241,0.305128576629,189
316,0.29801978034,268
295,0.29801978034,265
238,0.29801978034,187
238,0.29801978034,186
238,0.29801978034,185
345,0.291691675598,297
338,0.291691675598,288
332,0.291691675598,276
329,0.291691675598,275
328,0.291691675598,274
328,0.291691675598,273
295,0.291691675598,267
295,0.291691675598,266
298,0.291691675598,264
298,0.291691675598,247
297,0.291691675598,246
297,0.291691675598,245
296,0.291691675598,244
295,0.291691675598,243
295,0.291691675598,242
293,0.291691675598,241
291,0.291691675598,240
290,0.291691675598,239
306,0.225374467928,259
305,0.225374467928,258
250,0.182574185835,210
369,0.125,327
368,0.125,326
367,0.125,325
367,0.125,324
367,0.125,323
342,0.125,296
341,0.125,295
341,0.125,294
341,0.125,293
