Line Number, Coefficient, Statement Number
323,0.26633643722,272
311,0.263845047936,263
308,0.261446802198,260
304,0.261446802198,257
382,0.24875549677,354
379,0.24875549677,353
379,0.24875549677,352
380,0.24875549677,351
380,0.24875549677,350
380,0.24875549677,349
380,0.24875549677,348
380,0.24875549677,347
379,0.24875549677,346
379,0.24875549677,345
378,0.24875549677,344
378,0.24875549677,343
377,0.24875549677,342
354,0.24875549677,341
354,0.24875549677,340
372,0.24875549677,335
371,0.24875549677,334
370,0.24875549677,333
370,0.24875549677,332
370,0.24875549677,331
369,0.24875549677,330
369,0.24875549677,329
369,0.24875549677,328
366,0.24875549677,322
366,0.24875549677,321
366,0.24875549677,320
365,0.24875549677,319
364,0.24875549677,318
364,0.24875549677,317
364,0.24875549677,316
363,0.24875549677,315
363,0.24875549677,314
361,0.24875549677,313
361,0.24875549677,312
360,0.24875549677,311
359,0.24875549677,310
357,0.24875549677,309
357,0.24875549677,308
356,0.24875549677,307
355,0.24875549677,306
354,0.24875549677,305
353,0.24875549677,304
352,0.24875549677,303
351,0.24875549677,302
350,0.24875549677,301
349,0.24875549677,300
349,0.24875549677,299
348,0.24875549677,298
338,0.24875549677,287
337,0.24875549677,286
337,0.24875549677,285
336,0.24875549677,284
336,0.24875549677,283
335,0.24875549677,282
334,0.24875549677,281
333,0.24875549677,280
333,0.24875549677,279
333,0.24875549677,278
333,0.24875549677,277
320,0.24875549677,269
302,0.24875549677,255
300,0.24875549677,254
300,0.24875549677,253
299,0.24875549677,252
299,0.24875549677,251
299,0.24875549677,250
299,0.24875549677,249
299,0.24875549677,248
316,0.241640369313,268
295,0.241640369313,265
340,0.240002370405,292
340,0.240002370405,291
339,0.240002370405,290
339,0.240002370405,289
374,0.234311674452,339
373,0.234311674452,338
373,0.234311674452,337
373,0.234311674452,336
345,0.232542699549,297
338,0.232542699549,288
332,0.232542699549,276
329,0.232542699549,275
328,0.232542699549,274
328,0.232542699549,273
295,0.232542699549,267
295,0.232542699549,266
298,0.232542699549,264
298,0.232542699549,247
297,0.232542699549,246
297,0.232542699549,245
296,0.232542699549,244
295,0.232542699549,243
295,0.232542699549,242
293,0.232542699549,241
291,0.232542699549,240
290,0.232542699549,239
306,0.193995898416,259
305,0.193995898416,258
369,0.140028008403,327
368,0.140028008403,326
367,0.140028008403,325
367,0.140028008403,324
367,0.140028008403,323
342,0.108465228909,296
341,0.108465228909,295
341,0.108465228909,294
341,0.108465228909,293
277,0.036297700432,236
276,0.036297700432,235
275,0.036297700432,234
274,0.036297700432,233
274,0.036297700432,232
273,0.036297700432,231
259,0.036297700432,217
258,0.036297700432,216
258,0.036297700432,215
258,0.036297700432,214
242,0.036297700432,199
253,0.0314970394174,209
252,0.0314970394174,208
245,0.0314970394174,198
244,0.0314970394174,197
279,0.0258198889747,238
272,0.0258198889747,237
272,0.0258198889747,230
257,0.0258198889747,212
250,0.0258198889747,211
251,0.0258198889747,207
251,0.0258198889747,206
251,0.0258198889747,205
250,0.0258198889747,204
250,0.0258198889747,203
250,0.0258198889747,202
249,0.0258198889747,201
242,0.0258198889747,200
243,0.0258198889747,196
243,0.0258198889747,195
243,0.0258198889747,194
243,0.0258198889747,193
242,0.0258198889747,192
242,0.0258198889747,191
242,0.0258198889747,190
241,0.0258198889747,189
238,0.0258198889747,187
238,0.0258198889747,186
238,0.0258198889747,185
