Line Number, Coefficient, Statement Number
374,1.0,339
373,1.0,338
373,1.0,337
373,1.0,336
369,1.0,327
368,1.0,326
367,1.0,325
367,1.0,324
367,1.0,323
342,1.0,296
341,1.0,295
341,1.0,294
341,1.0,293
253,0.92,209
252,0.92,208
245,0.92,198
244,0.92,197
306,0.910891089109,259
305,0.910891089109,258
323,0.884615384615,272
311,0.884615384615,263
308,0.884615384615,260
304,0.884615384615,257
382,0.851851851852,354
379,0.851851851852,353
379,0.851851851852,352
380,0.851851851852,351
380,0.851851851852,350
380,0.851851851852,349
380,0.851851851852,348
380,0.851851851852,347
379,0.851851851852,346
379,0.851851851852,345
378,0.851851851852,344
378,0.851851851852,343
377,0.851851851852,342
354,0.851851851852,341
354,0.851851851852,340
372,0.851851851852,335
371,0.851851851852,334
370,0.851851851852,333
370,0.851851851852,332
370,0.851851851852,331
369,0.851851851852,330
369,0.851851851852,329
369,0.851851851852,328
366,0.851851851852,322
366,0.851851851852,321
366,0.851851851852,320
365,0.851851851852,319
364,0.851851851852,318
364,0.851851851852,317
364,0.851851851852,316
363,0.851851851852,315
363,0.851851851852,314
361,0.851851851852,313
361,0.851851851852,312
360,0.851851851852,311
359,0.851851851852,310
357,0.851851851852,309
357,0.851851851852,308
356,0.851851851852,307
355,0.851851851852,306
354,0.851851851852,305
353,0.851851851852,304
352,0.851851851852,303
351,0.851851851852,302
350,0.851851851852,301
349,0.851851851852,300
349,0.851851851852,299
348,0.851851851852,298
340,0.851851851852,292
340,0.851851851852,291
339,0.851851851852,290
339,0.851851851852,289
338,0.851851851852,287
337,0.851851851852,286
337,0.851851851852,285
336,0.851851851852,284
336,0.851851851852,283
335,0.851851851852,282
334,0.851851851852,281
333,0.851851851852,280
333,0.851851851852,279
333,0.851851851852,278
333,0.851851851852,277
320,0.851851851852,269
302,0.851851851852,255
300,0.851851851852,254
300,0.851851851852,253
299,0.851851851852,252
299,0.851851851852,251
299,0.851851851852,250
299,0.851851851852,249
299,0.851851851852,248
277,0.851851851852,236
276,0.851851851852,235
275,0.851851851852,234
274,0.851851851852,233
274,0.851851851852,232
273,0.851851851852,231
259,0.851851851852,217
258,0.851851851852,216
258,0.851851851852,215
258,0.851851851852,214
242,0.851851851852,199
279,0.793103448276,238
272,0.793103448276,237
272,0.793103448276,230
257,0.793103448276,212
250,0.793103448276,211
251,0.793103448276,207
251,0.793103448276,206
251,0.793103448276,205
250,0.793103448276,204
250,0.793103448276,203
250,0.793103448276,202
249,0.793103448276,201
242,0.793103448276,200
243,0.793103448276,196
243,0.793103448276,195
243,0.793103448276,194
243,0.793103448276,193
242,0.793103448276,192
242,0.793103448276,191
242,0.793103448276,190
241,0.793103448276,189
316,0.766666666667,268
295,0.766666666667,265
238,0.766666666667,187
238,0.766666666667,186
238,0.766666666667,185
345,0.741935483871,297
338,0.741935483871,288
332,0.741935483871,276
329,0.741935483871,275
328,0.741935483871,274
328,0.741935483871,273
295,0.741935483871,267
295,0.741935483871,266
298,0.741935483871,264
298,0.741935483871,247
297,0.741935483871,246
297,0.741935483871,245
296,0.741935483871,244
295,0.741935483871,243
295,0.741935483871,242
293,0.741935483871,241
291,0.741935483871,240
290,0.741935483871,239
250,0.71875,210
